countryName,countryCode,iso3Code,year,unemployedTotal
"Nanggroe Aceh Darussalam, Prop.",,,2020,
"Nanggroe Aceh Darussalam, Prop.",,,2019,
"Nanggroe Aceh Darussalam, Prop.",,,2018,151164
"Nanggroe Aceh Darussalam, Prop.",,,2017,150265
"Nanggroe Aceh Darussalam, Prop.",,,2016,170898
"Nanggroe Aceh Darussalam, Prop.",,,2015,216806
"Nanggroe Aceh Darussalam, Prop.",,,2014,191489
"Nanggroe Aceh Darussalam, Prop.",,,2013,207405
"Nanggroe Aceh Darussalam, Prop.",,,2012,178448
"Nanggroe Aceh Darussalam, Prop.",,,2011,148786
"Nanggroe Aceh Darussalam, Prop.",,,2010,162265
"Nanggroe Aceh Darussalam, Prop.",,,2009,165361
"Nanggroe Aceh Darussalam, Prop.",,,2008,171412
"Nanggroe Aceh Darussalam, Prop.",,,2007,171424
"Nanggroe Aceh Darussalam, Prop.",,,2006,189169
"Nanggroe Aceh Darussalam, Prop.",,,2005,237061
"Nanggroe Aceh Darussalam, Prop.",,,2004,156960
"Nanggroe Aceh Darussalam, Prop.",,,2003,155566
"Nanggroe Aceh Darussalam, Prop.",,,2002,149652
"Nanggroe Aceh Darussalam, Prop.",,,2001,138828
"Nanggroe Aceh Darussalam, Prop.",,,2000,
"Bali, Prop.",,,2020,
"Bali, Prop.",,,2019,
"Bali, Prop.",,,2018,34857
"Bali, Prop.",,,2017,36143
"Bali, Prop.",,,2016,46484
"Bali, Prop.",,,2015,47210
"Bali, Prop.",,,2014,44126
"Bali, Prop.",,,2013,41820
"Bali, Prop.",,,2012,48000
"Bali, Prop.",,,2011,52384
"Bali, Prop.",,,2010,68791
"Bali, Prop.",,,2009,66470
"Bali, Prop.",,,2008,69548
"Bali, Prop.",,,2007,77577
"Bali, Prop.",,,2006,120188
"Bali, Prop.",,,2005,106430
"Bali, Prop.",,,2004,89640
"Bali, Prop.",,,2003,101761
"Bali, Prop.",,,2002,84047
"Bali, Prop.",,,2001,53581
"Bali, Prop.",,,2000,
"Kepulauan Bangka-Belitung, Prop.",,,2020,
"Kepulauan Bangka-Belitung, Prop.",,,2019,
"Kepulauan Bangka-Belitung, Prop.",,,2018,26552
"Kepulauan Bangka-Belitung, Prop.",,,2017,26399
"Kepulauan Bangka-Belitung, Prop.",,,2016,18343
"Kepulauan Bangka-Belitung, Prop.",,,2015,41893
"Kepulauan Bangka-Belitung, Prop.",,,2014,32736
"Kepulauan Bangka-Belitung, Prop.",,,2013,22657
"Kepulauan Bangka-Belitung, Prop.",,,2012,20612
